family_id|choice_0|choice_1|choice_2|choice_3|choice_4|choice_5|choice_6|choice_7|choice_8|choice_9|n_people|assigned_day|assigned_choice
75|6|8|1|5|6|8|4|2|8|3|4|6|choice_0
76|3|6|7|3|7|7|2|9|3|4|4|3|choice_0
77|10|1|9|8|7|8|10|6|9|5|4|10|choice_0
78|5|1|8|3|8|5|7|9|7|8|5|5|choice_0
79|7|1|10|1|4|7|6|6|3|3|7|7|choice_0
80|2|6|7|8|1|3|4|6|8|7|2|2|choice_0
81|1|2|5|8|9|1|1|4|9|3|4|1|choice_0
82|9|6|3|6|3|6|3|5|6|3|4|9|choice_0
83|10|7|3|10|7|3|7|1|2|10|2|10|choice_0
84|9|9|9|1|7|9|5|9|4|3|6|9|choice_0
85|9|9|1|6|5|7|1|8|4|8|3|9|choice_0
86|10|3|1|7|1|7|4|4|10|9|3|10|choice_0
87|6|3|3|1|1|2|7|4|8|2|2|6|choice_0
88|5|2|6|7|9|1|9|8|2|5|4|5|choice_0
89|4|4|3|10|1|8|7|5|3|3|2|4|choice_0
90|5|4|9|6|7|5|9|7|1|10|6|5|choice_0
91|7|6|6|6|8|1|1|7|9|4|4|7|choice_0
92|5|1|6|6|3|10|5|2|10|9|2|5|choice_0
93|3|8|10|2|2|7|1|8|4|7|3|3|choice_0
94|10|5|9|10|8|10|9|4|8|2|3|10|choice_0
95|3|6|5|1|8|10|6|10|7|10|4|3|choice_0
96|8|5|10|2|3|4|4|2|4|6|6|8|choice_0
97|2|6|4|10|2|6|6|4|8|9|4|2|choice_0
98|10|10|10|6|8|9|4|6|1|1|4|10|choice_0
99|1|3|7|2|9|4|10|8|5|2|3|1|choice_0
